ai/assistantClient.ts(3,129): error TS2307: Cannot find module '../types' or its corresponding type declarations.
src/App.tsx(11,20): error TS2307: Cannot find module '@/components/layout/Footer' or its corresponding type declarations.
src/App.tsx(12,28): error TS2307: Cannot find module '@/components/ui/LoadingSpinner' or its corresponding type declarations.
src/App.tsx(13,25): error TS2307: Cannot find module '@/components/RequireAuth' or its corresponding type declarations.
src/App.tsx(14,24): error TS2307: Cannot find module '@/components/RequirePro' or its corresponding type declarations.
src/App.tsx(16,34): error TS2307: Cannot find module '@/components/ui/FloatingActionButton' or its corresponding type declarations.
src/App.tsx(41,26): error TS2307: Cannot find module '@/services/analytics' or its corresponding type declarations.
src/App.tsx(44,41): error TS2307: Cannot find module '@/components/ToastProvider' or its corresponding type declarations.
src/App.tsx(46,30): error TS2307: Cannot find module '@/contexts/AuthContext' or its corresponding type declarations.
src/App.tsx(50,30): error TS2307: Cannot find module '@/components/PaywallModal' or its corresponding type declarations.
src/App.tsx(51,23): error TS2307: Cannot find module '@/components/AuthModal' or its corresponding type declarations.
src/App.tsx(52,35): error TS2307: Cannot find module '@/components/onboarding/LevainOnboardingModal' or its corresponding type declarations.
src/App.tsx(58,43): error TS2307: Cannot find module '@/components/PlansPage' or its corresponding type declarations.
src/App.tsx(61,43): error TS2307: Cannot find module '@/pages/MyLabPage' or its corresponding type declarations.
src/App.tsx(67,46): error TS2307: Cannot find module '@/pages/settings/LanguagePage' or its corresponding type declarations.
src/App.tsx(139,52): error TS2307: Cannot find module '@/pages/mylab/MeuLabReceitasPage' or its corresponding type declarations.
src/App.tsx(140,53): error TS2307: Cannot find module '@/pages/mylab/MeuLabLevainPetPage' or its corresponding type declarations.
src/App.tsx(142,52): error TS2307: Cannot find module '@/pages/mylab/MeuLabFarinhasPage' or its corresponding type declarations.
src/App.tsx(143,50): error TS2307: Cannot find module '@/pages/mylab/MeuLabMassasPage' or its corresponding type declarations.
src/App.tsx(144,59): error TS2307: Cannot find module '@/pages/mylab/MeuLabDiarioSensorialPage' or its corresponding type declarations.
src/App.tsx(145,55): error TS2307: Cannot find module '@/pages/mylab/MeuLabComparacoesPage' or its corresponding type declarations.
src/App.tsx(159,50): error TS2307: Cannot find module '@/pages/pro/ProActivatedPage' or its corresponding type declarations.
src/components/calculator/sections/FermentationSection.tsx(4,26): error TS2307: Cannot find module '@/components/ui/ChoiceButton' or its corresponding type declarations.
src/components/calculator/sections/FermentationSection.tsx(5,25): error TS2307: Cannot find module '@/components/calculator/AccordionSection' or its corresponding type declarations.
src/components/calculator/sections/FermentationSection.tsx(7,10): error TS2305: Module '"@/components/ui/Icons"' has no exported member 'FermentationIcon'.
src/components/calculator/sections/IngredientsSection.tsx(12,35): error TS2307: Cannot find module '@/components/calculator/IngredientTableEditor' or its corresponding type declarations.
src/components/calculator/TechnicalMethodPanel.tsx(11,5): error TS2305: Module '"@/components/ui/Icons"' has no exported member 'LightBulbIcon'.
src/components/CalculatorForm.tsx(13,32): error TS2307: Cannot find module '@/logic/customPresets' or its corresponding type declarations.
src/components/CalculatorForm.tsx(23,25): error TS2307: Cannot find module '@/components/calculator/AccordionSection' or its corresponding type declarations.
src/components/CalculatorForm.tsx(24,26): error TS2307: Cannot find module '@/components/ToastProvider' or its corresponding type declarations.
src/components/CalculatorForm.tsx(26,26): error TS2307: Cannot find module '@/components/calculator/sections/StyleSection' or its corresponding type declarations.
